Zipcode,Average_Effective_Property_Tax_Perc_Rate
98004,0.99
98005,0.99
98007,0.99
98011,1.05
98012,1.05
98032,0.99
98034,0.99
98037,1.05
98052,0.99
98055,0.99
98056,0.99
98087,1.05
98101,0.99
98102,0.99
98103,0.99
98104,0.99
98105,0.99
98107,0.99
98109,0.99
98112,0.99
98115,0.99
98116,0.99
98118,0.99
98119,0.99
98121,0.99
98122,0.99
98125,0.99
98126,0.99
98133,0.99
98144,0.99
98201,1.05
98204,1.05
98208,1.05
98402,1.24
98405,1.24
